Screen Size (In.),RAM (GB),Weight (Kg),Price (Sonic Rings),ManufacturerLabel,CategoryLabel,ScreenLabel,CPULabel,StorageLabel,GPULabel
13.3,8,1.37,11912523.48,2,5,24,59,3,52
13.3,8,1.34,7993374.48,2,5,2,57,1,46
15.6,8,1.86,5112900.0,8,4,9,68,16,48
15.4,16,1.83,22563005.4,2,5,26,78,28,8
13.3,8,1.37,16037611.2,2,5,24,61,16,53
15.6,4,2.1,3556800.0,1,4,1,14,25,16
15.4,16,2.04,19028613.24,2,5,26,77,15,54
13.3,8,1.34,10303160.4,2,5,2,57,15,46
14.0,16,1.3,13293540.0,3,5,9,98,28,90
14.0,8,1.6,6846840.0,1,5,16,76,16,55
15.6,4,1.86,3502558.8,8,4,1,68,25,48
15.6,4,1.86,3067651.08,8,4,9,50,25,42
15.4,16,1.83,21696213.24,2,5,26,79,16,9
15.6,4,2.2,4436218.8,5,4,9,50,16,21
12.0,8,0.92,11225260.8,2,5,23,45,16,47
13.3,8,1.37,13502946.6,2,5,24,59,16,52
15.6,8,2.2,6624540.0,5,4,9,89,16,21
15.4,16,1.83,25413336.0,2,5,26,80,28,10
15.6,8,2.2,4437108.0,11,4,9,53,9,66
13.3,8,1.22,8705268.0,5,5,14,76,3,55
11.6,2,0.98,1706374.8,3,3,1,28,22,36
15.6,8,2.5,8883108.0,11,2,16,70,4,68
15.6,4,1.86,2294136.0,8,4,1,21,25,11
13.3,8,1.62,7282548.0,5,1,8,76,16,55
15.6,8,1.91,5859828.0,8,5,9,98,16,48
15.6,4,2.3,3722546.88,5,4,1,50,9,42
13.3,8,1.35,9772308.0,2,5,2,56,1,46
15.6,8,2.2,7113600.0,5,4,9,76,16,6
15.6,8,1.88,11541816.0,5,5,9,99,18,55
17.3,8,2.5,7967232.0,8,4,9,76,9,63
15.6,4,1.89,2178451.08,4,4,9,27,33,35
14.0,2,1.65,1769508.0,3,4,1,19,22,11
17.3,4,2.71,3903588.0,8,4,9,9,25,6
13.3,16,1.2,16619148.0,5,5,34,98,28,55
13.3,8,1.35,8874216.0,2,5,2,56,15,46
14.0,4,1.44,2214108.0,11,4,1,35,33,38
15.6,4,2.1,3263364.0,1,4,1,54,9,48
17.3,8,2.8,8705268.0,5,4,16,76,4,6
15.6,4,1.86,4345431.48,8,4,1,68,9,48
15.6,8,2.1,7816068.0,8,4,9,76,16,64
15.6,4,2.0,3458988.0,3,4,9,50,9,48
15.6,16,2.65,13329108.0,5,2,16,94,17,72
15.6,8,2.3,4650427.08,3,4,1,68,9,66
15.6,4,2.2,6064344.0,1,4,16,76,16,55
17.3,12,2.77,8883108.0,5,1,8,76,9,57
13.3,8,1.37,12617748.0,2,5,24,58,16,50
15.6,4,2.2,3281148.0,11,4,1,50,3,42
17.3,8,3.2,11550708.0,3,2,9,25,17,33
15.6,4,2.3,5681988.0,5,4,9,68,16,21
17.3,4,2.8,4143672.0,3,4,1,103,9,60
10.1,4,0.69,2836548.0,11,1,29,29,33,36
15.6,8,2.2,7478172.0,1,4,16,98,16,90
15.6,4,1.86,3543373.08,8,4,9,9,16,15
13.3,8,1.49,9807876.0,8,4,9,98,28,55
15.6,4,2.4,3414528.0,1,4,1,53,9,48
15.6,8,2.13,6827277.6,5,4,9,98,16,5
15.6,4,1.91,3903588.0,8,4,9,50,3,42
15.6,4,2.0,5212401.48,3,4,1,68,16,48
17.3,16,2.43,21776508.0,12,2,9,94,19,73
15.6,4,2.0,3690180.0,3,4,9,50,16,42
17.3,16,2.8,11550708.0,5,4,9,98,19,6
14.0,8,1.7,7816068.0,5,5,9,76,16,55
14.0,8,1.7,5326308.0,11,4,16,54,16,48
14.0,8,1.4,8367372.0,3,4,9,76,16,55
15.6,8,1.86,6135480.0,8,4,9,68,16,48
15.6,16,1.8,17632836.0,3,5,9,94,28,69
15.6,4,1.86,3900831.48,8,4,1,50,25,5
14.0,4,1.44,2036268.0,8,4,1,34,24,36
15.6,4,1.9,4881708.0,11,4,9,68,9,48
17.3,12,3.0,8438508.0,3,2,9,94,9,69
13.5,4,1.252,9683388.0,14,5,36,68,3,48
13.3,8,1.4,8491860.0,5,5,16,98,16,6
15.6,8,2.2,7736040.0,5,4,9,98,16,6
17.3,8,2.7,9736740.0,12,2,9,70,4,68
14.0,8,2.1,3458988.0,1,4,1,50,9,42
15.6,8,2.2,8438508.0,3,2,9,94,9,68
15.6,8,2.2,4614948.0,11,4,9,68,21,48
15.6,8,2.02,7602660.0,5,4,9,98,4,55
15.6,4,2.2,4712760.0,1,4,9,54,9,89
17.3,8,2.5,8687484.0,8,4,9,76,4,63
15.6,8,1.88,9747054.72,5,5,16,76,16,55
12.0,8,0.92,13426920.0,2,5,23,55,28,47
14.0,8,1.63,7647120.0,8,4,9,76,16,48
15.6,4,2.2,3547908.0,11,4,9,9,3,4
15.6,4,2.1,3512340.0,1,4,1,14,9,16
15.6,16,2.65,11995308.0,5,2,16,94,4,69
15.6,8,1.83,6215508.0,8,5,16,98,16,78
15.6,8,1.96,5326219.08,8,4,9,68,16,48
15.6,16,2.2,12884508.0,3,2,16,94,4,72
13.3,8,1.21,14662908.0,5,5,16,98,16,55
15.6,8,2.45,6215508.0,3,2,9,23,9,32
15.6,8,2.2,6126588.0,1,4,9,98,9,90
13.3,16,1.49,10643724.0,8,4,9,98,28,55
15.6,8,2.65,10625940.0,5,2,9,70,16,72
14.0,8,1.25,9327708.0,3,5,9,89,16,48
13.3,8,1.5,7531524.0,1,1,14,76,16,55
15.6,8,2.2,5334310.8,5,4,9,89,9,21
15.6,4,2.2,4312620.0,5,4,9,50,16,21
15.6,6,2.0,5130684.0,3,4,9,53,16,59
15.6,12,2.62,11106108.0,8,2,16,94,4,68
15.6,8,1.91,6393348.0,8,4,9,89,16,6
15.6,4,2.1,3103308.0,8,4,9,21,25,11
15.6,8,2.2,5753124.0,5,4,9,76,9,5
13.3,8,1.38,9950148.0,8,5,16,89,16,90
13.5,8,1.252,11915280.0,14,5,36,68,16,48
14.0,6,1.58,5859828.0,8,4,16,68,16,66
15.6,4,1.85,3689290.8,11,4,9,50,9,42
14.0,8,1.3,10608156.0,3,5,16,89,16,66
15.6,16,2.2,11550708.0,12,2,9,94,17,69
14.0,8,1.58,13160160.0,11,4,16,89,16,48
15.6,16,1.5,11221704.0,3,5,9,98,17,90
13.3,8,1.23,12262068.0,5,5,31,90,16,52
13.3,8,1.37,12439908.0,11,1,14,68,16,48
14.0,4,1.63,6420024.0,8,4,10,76,25,55
13.3,8,1.21,14485068.0,5,5,16,76,16,55
13.3,8,1.26,12439819.08,8,1,14,76,16,55
14.0,8,1.63,9638928.0,8,4,9,98,28,55
15.6,8,2.16,10050894.36,5,4,16,98,17,66
17.3,4,2.0,5015088.0,3,4,9,50,9,60
15.6,8,1.7,9941256.0,3,4,9,98,16,66
15.6,6,2.1,4259268.0,1,4,14,53,9,48
15.6,16,1.8,19931418.0,12,2,9,94,19,73
15.6,8,2.2,5593068.0,11,4,9,68,16,66
17.3,16,2.5,11301732.0,8,4,9,98,28,64
15.6,4,2.1,4010292.0,1,4,1,14,16,16
15.6,4,1.86,2303028.0,8,4,1,34,25,36
14.0,8,1.63,7220304.0,8,4,9,76,9,55
14.0,4,1.65,2471887.08,3,4,1,16,35,11
17.3,16,2.8,12413232.0,5,4,9,98,19,6
17.3,8,2.5,8251776.0,8,4,9,76,16,55
15.6,8,2.36,5681899.08,5,4,1,68,9,26
15.6,4,2.2,3992508.0,5,4,9,50,9,21
14.0,8,1.6,7860528.0,1,5,16,98,16,55
15.6,4,2.2,5086224.0,1,4,9,54,16,89
15.6,8,2.05,5317416.0,8,4,1,89,9,48
14.0,8,1.63,8785296.0,8,4,9,98,16,55
15.6,4,1.9,2243985.12,11,4,1,35,9,38
17.3,8,3.0,8340696.0,3,2,9,70,4,68
15.6,4,2.2,4437108.0,11,4,9,68,9,60
13.3,4,1.32,6215508.0,8,4,16,68,16,48
17.3,4,3.0,5824260.0,1,4,16,54,9,89
14.0,8,1.75,9923649.84,11,4,16,76,16,31
15.6,8,2.4,7727148.0,11,2,16,94,16,70
15.6,4,2.1,5352984.0,17,4,1,62,25,42
15.6,4,1.86,3281148.0,8,4,1,9,16,15
14.0,8,1.25,9772308.0,3,5,9,98,16,55
12.5,8,0.97,17908488.0,8,5,12,41,28,41
15.6,4,2.0,3058848.0,3,4,9,35,9,38
17.3,16,2.9,18041868.0,12,2,9,94,17,73
15.6,4,2.1,3974724.0,1,4,1,50,9,42
15.6,16,2.56,11108419.92,5,2,9,94,28,68
15.6,8,2.62,7993908.0,5,2,9,94,11,68
15.6,4,1.9,4428216.0,11,4,1,68,3,48
17.3,16,2.8,16805880.0,12,2,9,94,17,72
14.0,4,1.48,9621144.0,8,5,9,73,16,48
15.6,6,1.91,5504148.0,8,4,9,76,16,5
14.0,4,1.74,5593068.0,11,1,14,53,16,48
13.3,8,1.1,11692980.0,3,1,8,76,16,48
15.6,8,1.56,9327708.0,5,1,8,98,16,55
15.6,4,2.1,3974724.0,17,4,1,49,25,42
15.6,4,2.03,3583476.0,3,4,1,14,9,19
17.3,4,3.0,7158060.0,1,4,16,76,16,90
15.6,8,2.13,6473376.0,5,4,9,76,16,5
15.6,16,2.5,9594468.0,11,2,16,94,16,69
15.6,4,2.1,3094416.0,1,4,1,35,9,38
15.6,16,2.4,15996708.0,12,2,16,94,17,72
15.6,4,2.1,3232330.92,1,4,1,103,9,39
15.6,8,2.56,9429877.08,5,2,9,94,4,68
17.3,8,3.0,7593768.0,1,4,16,76,16,90
13.3,4,1.49,6704568.0,8,4,16,76,25,55
13.0,8,1.05,11995308.0,9,5,18,68,16,48
17.3,6,2.71,6215508.0,8,4,16,68,21,5
15.6,4,2.2,2747628.0,11,4,1,10,25,15
15.6,4,2.0,4348188.0,17,4,1,53,25,48
17.3,8,2.5,8207316.0,8,4,9,76,16,63
15.6,8,2.3,4081428.0,5,4,1,53,9,48
15.6,4,2.1,3992508.0,1,4,1,50,3,42
18.4,32,4.4,24888708.0,12,2,9,87,29,56
15.6,8,1.9,7229196.0,11,4,9,68,4,3
13.3,8,1.29,13329108.0,8,1,12,76,16,55
15.6,16,2.02,9327708.0,5,4,9,98,19,6
13.3,8,1.23,12439908.0,5,5,9,76,16,55
13.9,16,1.4,16441308.0,11,1,12,98,28,55
15.6,8,2.0,7051356.0,17,4,1,68,3,48
15.6,8,1.95,10661508.0,19,4,16,76,16,90
17.3,16,2.77,13773708.0,5,4,8,98,28,57
15.6,16,2.06,21314124.0,5,4,6,94,28,68
15.6,8,2.4,6926868.0,11,2,16,70,16,68
13.3,8,1.12,8794188.0,1,5,16,74,16,47
17.3,8,2.8,9647820.0,5,4,9,98,4,6
14.0,16,1.42,25111008.0,11,1,38,89,12,48
14.0,4,1.3,2311920.0,18,4,16,35,22,38
13.3,8,1.3,8891110.8,19,5,16,68,16,90
17.3,8,2.8,6206616.0,11,4,3,76,16,90
13.3,8,1.62,7460388.0,5,1,14,98,9,55
17.3,8,2.5,8127288.0,8,4,16,76,9,63
17.3,32,3.49,54232308.0,15,2,6,95,12,75
13.3,8,1.49,8527428.0,8,4,9,76,28,55
17.3,16,3.35,12262068.0,8,2,16,94,17,68
17.3,8,2.5,9292140.0,8,4,9,98,16,64
15.6,16,2.65,16405740.0,5,2,13,94,29,72
15.6,4,2.1,4383756.0,11,4,1,62,3,42
15.6,8,2.23,6597864.0,1,4,9,89,9,66
15.6,16,3.2,15552108.0,11,2,16,94,29,72
15.6,16,2.8,27165060.0,5,6,7,104,17,92
15.6,16,2.4,12431016.0,11,2,9,94,28,72
15.6,6,2.3,3903588.0,5,4,35,53,9,48
13.3,8,1.21,17330508.0,5,5,12,98,16,55
13.3,8,1.2,12884508.0,5,5,9,98,16,55
15.6,8,2.2,5308524.0,11,4,1,68,16,48
15.6,8,2.4,6926868.0,1,4,9,94,9,68
17.3,16,2.9,12511044.0,3,2,9,94,17,68
15.6,4,2.1,3103308.0,8,4,9,50,25,42
15.6,8,2.2,4881708.0,11,4,9,68,16,48
13.0,8,1.05,13329108.0,9,5,18,89,28,48
13.3,8,1.4,8286276.96,5,5,16,98,16,6
17.3,8,2.8,5237388.0,11,4,3,68,9,78
14.0,8,1.63,9167652.0,8,4,9,98,16,63
14.0,8,1.6,10216908.0,5,5,9,76,16,55
13.3,16,1.62,11372868.0,5,1,8,98,28,55
15.6,8,2.2,6022996.2,5,4,9,76,16,5
14.0,8,1.74,7993908.0,11,1,16,76,16,55
13.3,8,1.2,12119796.0,17,5,9,81,16,42
15.6,8,2.1,7060248.0,8,4,9,76,9,55
17.3,16,4.42,21841775.28,5,2,16,94,17,72
15.6,8,2.2,7398144.0,1,4,9,89,16,66
15.6,16,2.3,7638316.92,5,4,8,89,9,26
15.6,8,2.0,6837948.0,3,4,9,68,16,61
17.3,8,2.69,7922772.0,3,4,9,68,20,79
15.6,8,1.9,11283948.0,8,4,9,89,9,1
15.6,4,2.37,3547819.08,3,4,1,53,9,48
15.6,4,2.1,2934360.0,8,4,1,18,25,11
15.6,16,3.2,13329108.0,11,2,16,94,17,72
14.0,8,1.6,7638228.0,5,4,9,68,16,48
13.3,8,1.6,6126588.0,1,1,14,62,16,42
15.6,16,2.36,7993908.0,5,4,9,89,16,26
15.6,4,2.1,3467880.0,1,4,1,50,9,42
15.6,4,2.2,5112900.0,3,4,9,3,4,21
17.3,32,4.7,34589880.0,3,2,9,95,29,75
15.6,8,2.5,7522632.0,1,2,16,70,16,68
15.6,8,2.2,5237388.0,11,4,1,50,3,42
17.3,8,2.1,10181340.0,3,4,9,98,4,57
17.3,8,2.69,7904988.0,3,4,9,89,4,79
15.6,8,2.56,7816068.0,5,2,9,70,16,68
13.9,8,1.38,9594468.0,11,1,14,89,16,48
15.6,8,2.2,8758620.0,5,4,9,98,5,6
15.6,8,2.04,4970628.0,8,4,35,68,9,48
17.3,16,3.6,26667108.0,3,2,9,95,16,75
13.3,4,1.49,6002100.0,8,4,16,76,25,55
13.3,8,1.37,18139680.0,2,5,24,61,28,53
15.6,8,2.08,7282548.0,5,1,14,98,9,55
17.3,16,4.3,15996708.0,3,2,9,94,17,85
15.6,4,1.68,4170348.0,3,4,1,14,9,19
13.9,8,1.37,16441308.0,11,1,14,98,28,55
17.3,4,3.0,6242184.0,1,4,16,54,16,89
13.3,8,1.41,8438508.0,5,5,9,76,16,55
15.6,8,1.91,3964942.8,8,4,1,11,3,15
17.3,16,2.9,9416628.0,8,4,16,98,9,90
17.3,16,4.14,22221108.0,12,2,9,94,29,73
