CPU,RAM (GB),Storage,GPU,CPULabel,StorageLabel,GPULabel
Intel Core i7 7500U 2.7GHz,6,1TB HDD,Intel HD Graphics 620,41,6,26
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,43,11,39
Intel Core i7 7500U 2.7GHz,12,512GB SSD,Intel HD Graphics 620,41,19,26
Intel Core i5 6200U 2.3GHz,4,128GB SSD,Intel HD Graphics 520,27,1,22
AMD A12-Series 9720P 3.6GHz,6,256GB SSD,AMD Radeon 530,2,10,4
Intel Core i5 6200U 2.3GHz,4,256GB SSD,Intel HD Graphics 520,27,10,22
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,27,17,22
Intel Core i5 7200U 2.5GHz,4,500GB HDD,AMD Radeon R5 M430,30,17,11
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,30,6,26
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,43,2,41
Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R7 M445,41,6,14
Intel Core i5 7200U 2.5GHz,8,128GB SSD,Intel HD Graphics 620 ,30,1,27
Intel Core M 6Y75 1.2GHz,8,512GB SSD,Intel HD Graphics 515,21,19,21
Intel Core i3 6006U 2GHz,4,128GB SSD +  1TB HDD,AMD Radeon 520,23,2,3
Intel Celeron Dual Core N3350 1.1GHz,4,128GB SSD,Intel HD Graphics 500,15,1,19
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,27,10,22
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,30,10,26
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,30,10,26
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,41,10,26
Intel Pentium Quad Core N4200 1.1GHz,4,500GB HDD,Intel HD Graphics 505,49,17,20
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,43,11,39
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,41,19,26
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,43,2,38
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,30,10,26
Intel Core i3 7100U 2.4GHz,4,128GB SSD,Intel HD Graphics 620,25,1,26
Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,30,17,26
Intel Core i5 6200U 2.3GHz,4,128GB SSD,Intel HD Graphics 520,27,1,22
Intel Core i5 6300U 2.4GHz,4,256GB SSD,Intel HD Graphics 520,29,10,22
Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,30,10,26
Intel Core i7 6600U 2.6GHz,8,256GB SSD,Intel HD Graphics 520,37,10,22
